"stateid","total_sqft","price_difference"
"AK",0,2.42
"AL",2117150,2.2
"AR",31845,0.779999999999999
"AZ",8041578,1.88
"CA",6702540,8.64
"CO",1637741,1.75
"CT",398255,3.71
"DE",0,3.99
"FL",704320.5,1.04
"GA",6358409,1.6
"HI",0,2.02999999999999
"IA",10130121,0.449999999999999
"ID",18269,1.46
"IL",7324228,3.2
"IN",452306,1.97
"KS",482714,0.850000000000001
"KY",71319,0.799999999999999
"LA",121002,0.0499999999999989
"MA",185314,5.17
"MD",1059955,5.22
"ME",176385,9.22
"MI",464867,1.72
"MN",413329,1.16
"MO",1482855,1.7
"MS",0,2.02
"MT",0,1.4
"NC",2712234,3.27
"ND",0,-0.0800000000000001
"NE",4429963,0.880000000000001
"NH",30553,4.22
"NJ",6021590,4.56
"NM",5075839.5,-0.65
"NV",5261081,0.43
"NY",434991.5,4.78
"OH",8719337,3.38
"OK",656831,0.540000000000001
"OR",15846756,2.22
"PA",575667,4.41
"RI",0,7.69
"SC",2214272,1.85
"SD",55963,1.03
"TN",3167961,1
"TX",13118072,1.51
"UT",2184469,2.15
"VA",37675475,2.22
"VT",0,3.36
"WA",7706164,2.53
"WI",315401,1.58
"WV",121002,2.14
"WY",1048162,1.78
